req_idx,requirement,missing_label,prob,top_tokens,saliency_scores
8,Ürün ekranda güncel verileri korumak için hızlı yanıt vermelidir,Verifiable,0.2924,"Ürün, ekranda, lidir","0.943, 0.820, 0.553"
10,Sistem Etkinlikleri zamana göre dikey tabloda görüntülemelidir,Verifiable,0.2384,"Etkinlikleri, görüntüleme, tabloda","0.815, 0.806, 0.755"
11,Sistem Etkinlikleri zamana göre grafikte görüntülemelidir,Verifiable,0.4955,"Etkinlikleri, Sistem, görüntüleme","1.000, 0.738, 0.731"
12,Uyuşmazlık Sisteminde belirtilen tüm iş kuralları E Düzenlemesi ve Z Düzenlemesi yönergelerine uygun olmalıdır,Verifiable,0.4896,"olmalıdır, mazlık, Düzenleme","0.521, 0.405, 0.401"
14,Mevcut bir uyuşmazlık vakasını değiştiren tüm eylemler vaka geçmişine kaydedilmelidir,Unambiguous,0.4393,"vaka, uyuşmaz, vaka","0.422, 0.388, 0.388"
14,Mevcut bir uyuşmazlık vakasını değiştiren tüm eylemler vaka geçmişine kaydedilmelidir,Verifiable,0.3655,"uyuşmaz, kayded, ilmelidir","0.429, 0.372, 0.371"
20,Uyuşmazlık Sistemi uygulamanın yetkili kullanıcıları için güncelleme erişim yeteneği sağlamalıdır,Verifiable,0.3824,"lıdır, mazlık, uygulamanın","0.380, 0.354, 0.328"
22,Uyuşmazlık Sistemi kullanıcıya tek bir satıcıya ait birden fazla işlem üzerinde tek bir uyuşmazlık vakası başlatma yeten,Verifiable,0.2792,"uyuşmaz, kullanıcıya, lıdır","0.764, 0.744, 0.736"
38,Tüm mektup talepleri Mektup Yazdırma Programı sistemi tarafından belirtilen yönergelere göre biçimlendirilmelidir,Verifiable,0.4107,"Mektup, talepleri, mektup","0.694, 0.549, 0.481"
40,Ürün Internet Explorer 5.5 ve üstünü desteklemelidir,Unambiguous,0.4847,"destekleme, lidir, üstünü","1.000, 0.533, 0.489"
41,Ürün Mozilla Firefox 1.0 ve üstünü desteklemelidir,Verifiable,0.2239,"Moz, Ürün, lidir","1.000, 0.804, 0.797"
42,Ürün Choice Parts Sistemi ile arayüz oluşturmalıdır. Bu geri dönüştürülmüş parça verilerinin beslemesini sağlar,Verifiable,0.383,"., Ürün, Bu","1.000, 0.573, 0.408"
43,Ürün tüm ortamlar için mevcut donanım üzerinde çalışmalıdır,Verifiable,0.2248,"Ürün, lıdır, donanım","0.761, 0.506, 0.488"
44,Ürün kurumsal Mimari yönergelerine uymalıdır,Unambiguous,0.307,"Ürün, Mimar, malıdır","0.607, 0.547, 0.467"
44,Ürün kurumsal Mimari yönergelerine uymalıdır,Verifiable,0.4077,"Ürün, Mimar, malıdır","1.000, 0.980, 0.863"
45,Ürün kurumsal Kullanıcı Arayüzü Yönergelerine uymalıdır,Verifiable,0.435,"Kullanıcı, Ürün, kurumsal","0.644, 0.580, 0.521"
46,Ürün kurumsal renk şemasına uymalıdır,Verifiable,0.2285,"şem, malıdır, Ürün","1.000, 0.841, 0.824"
47,Ürünün görünümü profesyonel görünmelidir,Verifiable,0.4687,"melidir, Ürünün, görünümü","0.669, 0.620, 0.518"
48,Yazılım ürününün Windows veya Linux platformlarında çalışması beklenmektedir,Unambiguous,0.4844,"beklenmektedir, ürününü, çalışması","1.000, 0.974, 0.642"
52,Ürün Eksperler ve Hasar Değerlendiricileri tarafından öğrenilmesi kolay olmalıdır. Ürün iki günlük yerinde eğitimle öğre,Verifiable,0.4236,"Ürün, Eks, Ürün","1.000, 0.912, 0.860"
53,Kullanıcı ürünü kullanırken talimatları kolayca bulabilmelidir. Kullanıcı yardımı sistemin %90'ında bulunabilir,Verifiable,0.4885,"bulunabilir, Kullanıcı, .","0.843, 0.707, 0.693"
57,Tercih edilen tamir tesisi derecelendirmeleri 5 saniye içinde kaydedilmelidir. Kaydetme 5 saniye içinde gerçekleşecektir,Unambiguous,0.4843,"., Tercih, tamir","1.000, 0.900, 0.448"
58,Ürün kurumsal çevrimiçi kullanılabilirlik programına uymalıdır. Uygulama yalnızca kullanılabilirlik programına göre plan,Verifiable,0.4742,"., Ürün, kurumsal","0.810, 0.793, 0.618"
