Requirement,Appropriate,Complete,Conforming,Correct,Feasible,Necessary,Singular,Unambiguous,Verifiable
"Sistem ekranı her 60 saniyede bir yenilemelidir",1,1,1,1,1,1,1,1,1
"Uygulama İç Güvenlik Bakanlığı tarafından belirlenen şema rengini eşleştirmelidir",1,1,1,1,1,1,1,1,0
"Yansıtıldığında veri okunabilir olmalıdır. 10x10 projeksiyon ekranında izleyicilerin %90'ı 30 metre mesafeden Etkinlik/Aktivite verilerini okuyabilmelidir",1,1,1,1,1,1,0,1,1
"Ürün normal mesai saatleri boyunca kullanılabilir olmalıdır. Kullanıcı istemci PC'ye erişebildiği sürece sistem ilk altı ay boyunca zamanın %99'unda kullanılabilir olacaktır",1,1,1,1,1,1,0,1,1
"Yansıtıldığında veri anlaşılabilir olmalıdır. 10x10 projeksiyon ekranında izleyicilerin %90'ı 100 metre mesafeden Etkinliklerin gerçek zamanlı olduğunu anlayabilmelidir",1,1,1,1,1,1,1,1,1
"Ürün yalnızca yetkili kullanıcılar tarafından erişilebilir olmalıdır. Ürün tüm erişim denemelerinde yetkili ve yetkisiz kullanıcıları ayırt edebilmelidir",1,1,1,1,1,1,0,1,0
"Ürün sezgisel ve kendini açıklayıcı olmalıdır",1,0,1,1,1,1,1,0,0
"Ürün ekranda güncel verileri korumak için hızlı yanıt vermelidir",1,0,1,1,1,1,1,0,0
"Sistem grafik ve veri tablosunun görüntülenmesine olanak sağlayan MDI formu içermelidir",1,1,1,1,1,1,1,1,0
"Sistem Etkinlikleri zamana göre dikey tabloda görüntülemelidir",1,1,1,1,1,1,1,1,0
"Sistem Etkinlikleri zamana göre grafikte görüntülemelidir",1,1,1,1,1,1,1,1,0
"Uyuşmazlık Sisteminde belirtilen tüm iş kuralları E Düzenlemesi ve Z Düzenlemesi yönergelerine uygun olmalıdır",1,1,1,1,1,1,1,1,0
"Uyuşmazlık uygulaması kullanıcının bir uyuşmazlık vakasında yaptığı her eylemin detaylı geçmişini tutmalıdır. Bu daha sonra belirli bir uyuşmazlık vakasıyla ilgili sorular ortaya çıkarsa tam denetim izi sağlar",1,1,1,1,1,1,0,1,1
"Mevcut bir uyuşmazlık vakasını değiştiren tüm eylemler vaka geçmişine kaydedilmelidir",1,1,1,1,1,1,1,1,0
"Uyuşmazlık Sistemi hem iç hem de dış kullanıcılar tarafından erişilebilir olmalıdır",1,1,1,1,1,1,1,1,0
"Uyuşmazlık Sistemi kullanıcıların kendi kart sahibi tabanlarına ait olmayan uyuşmazlık vakalarına erişmesini engellemelidir",1,1,1,1,1,1,1,1,0
"Uyuşmazlık Sistemi kullanıcılara gerçek zamanlı yanıt veren kullanıcı arayüzü aracılığıyla uyuşmazlık vakasının doğrudan veri girişini kolaylaştırmalıdır",1,1,1,1,1,1,1,1,0
